,time,intst1.bond_1,intst2.bond_1,intst3.bond_1,intst4.bond_1,intst5.bond_1,intst6.bond_1,intst7.bond_1,intst8.bond_1,intst9.bond_1,intst10.bond_1,intst11.bond_1,intst12.bond_1
0,4.000000011925623,0.6507941332245641,0.5524682538194838,0.6085167512382332,0.37907495604268693,0.786370154523218,0.6529226954718164,0.3268442103422924,0.5720044983992336,0.5925012883160337,0.7292590550615712,0.5247976114942894,0.6758124582926817
1,204.0000006082068,2.485828278943207,2.41669317167704,1.77753902548812,0.8342721108828899,2.958310108108428,1.114617801851531,1.5736123151839,2.2004726002553445,1.9947062451015567,0.8617652554727719,0.9869401986034285,1.096166887091873
2,404.00000120448794,2.3334316648381366,2.3520836982396087,2.505972833876676,2.3604098424513182,3.2040051379620946,2.8668054897820925,0.7350070912698685,2.714274240868681,1.7077719076135605,2.8497868589613677,2.5382639275953105,0.6501792005156899
3,604.000001800769,2.0844653744821677,2.6766414883894285,2.2080546681157784,2.085758047064356,4.055933698116664,4.79646868022713,1.8694573052763523,2.9552890363247952,1.8344931833138256,3.1177523191980994,2.4887318333183375,0.9735255987235893
4,804.0000023970503,2.3508573916700284,2.429526246320372,2.1199091653618423,4.449174539526385,3.194838481504606,4.323442576146452,3.4668079339273126,3.1744204221626147,1.471075805380302,3.6296409666037226,2.7623698084609805,0.9651343458012809
5,1004.0000029933315,1.5474964186819822,2.5874842824208013,2.4666962833742705,5.540928628265614,3.4707243026957846,6.042953568955185,3.791958301065338,2.9669144812174295,1.8759779065817943,3.8794274482611426,2.9218858909846555,0.8488993839265468
6,1204.0000035896126,2.220168713579871,2.3764396451011,2.480844089601125,4.077155227649489,3.2377750150895546,6.329065256122463,4.477469818986365,3.1246094646137488,2.086941136876777,3.7220884033107255,3.2344218297864433,1.0114174370611186
7,1404.0000041858937,2.3660866709797483,3.4420122601700216,3.2709918428082725,4.722337840800614,3.4520333077666896,7.418472457603873,4.149214492053921,2.670550436249486,2.07160660922733,3.855154284152655,2.5741675152428254,1.8053404132029502
8,1604.000004782175,2.416840271807951,3.1585563605511604,3.397953685844393,4.859519216602952,3.3879613547627585,8.82218256518333,3.30646546870076,3.1480379382170005,1.534495296201336,3.490747865261725,2.667293534666886,3.394217471331631
9,1804.000005378456,2.470081622943834,3.0688344662485862,3.641475769743079,5.042528134053204,3.0903885775376017,7.298280235910702,2.9005383364854236,3.326305281642738,2.131501338603935,4.7493974510555566,2.784446649776707,4.0027875609892325
