name,timescale,kvalue,restraint,ktvalue,kcalvalue
analysis_5ns-k100ex3-1.out,5ns,k100,ex3,-2.095162287509247
analysis_5ns-k100ex3-2.out,5ns,k100,ex3,-1.8232762961214632
analysis_5ns-k100ex3-3.out,5ns,k100,ex3,0.09634165476300893
analysis_5ns-k100simple-1.out,5ns,k100,simple,-0.5075854195823126
analysis_5ns-k100simple-2.out,5ns,k100,simple,-1.5124580607376146
analysis_5ns-k100simple-3.out,5ns,k100,simple,0.03542557384278666
analysis_5ns-k10ex3-1.out,5ns,k10,ex3,0.07078881870246079
analysis_5ns-k10ex3-2.out,5ns,k10,ex3,-2.3192454925708077
analysis_5ns-k10ex3-3.out,5ns,k10,ex3,-1.2760140305507477
analysis_5ns-k10simple-1.out,5ns,k10,simple,-0.29094602935172276
analysis_5ns-k10simple-2.out,5ns,k10,simple,-0.7471551087756865
analysis_5ns-k10simple-3.out,5ns,k10,simple,-1.2211101399967248
analysis_5ns-k3ex3-1.out,5ns,k3,ex3,-1.2979027793085507
analysis_5ns-k3ex3-2.out,5ns,k3,ex3,0.7597246872355115
analysis_5ns-k3ex3-3.out,5ns,k3,ex3,-1.3991563686417408
analysis_5ns-k3simple-1.out,5ns,k3,simple,-2.5782799564495136
analysis_5ns-k3simple-2.out,5ns,k3,simple,0.46831006922513296
analysis_5ns-k3simple-3.out,5ns,k3,simple,-0.4147758036161022
analysis_5ns-norestraints-1.out,5ns,,norestraint,-0.0685468995357752
analysis_5ns-norestraints-2.out,5ns,,norestraint,-0.7082375588234626
analysis_5ns-norestraints-3.out,5ns,,norestraint,-1.9189466553492736
