frames,d_bond1,d_bond2,d_bond3,potential_energy,RMSD_protein,RMSD_ligand
0,1.9955215,1.8800567,2.4979434,-610001.2470833645,9.96221856109062e-07,9.633565373918635e-08
10,1.7926861,1.815469,2.2461128,-613840.3720833645,2.0754033249214037,0.6826694357329053
20,1.7569966,1.7910103,1.9966779,-616222.8720833645,1.8405289797599158,0.7042330565389189
30,1.9345919,1.7781411,2.607076,-615660.8720833645,3.051572608675389,1.366212995823075
40,1.8672551,1.7198936,3.8091824,-614678.8720833645,3.463444837585863,1.385356618516263
50,3.104528,4.233092,3.697333,-616202.9970833645,3.852041472024518,1.5521065890425085
60,2.261673,5.361401,3.2389462,-615315.7470833645,4.2474910777649155,2.309313225763676
70,2.0679536,3.9766557,3.9065664,-614596.9970833645,4.338517801148799,2.2439255872496577
80,1.8536972,4.110422,3.401601,-615946.4970833645,3.9448812321634716,2.712735964633131
90,1.9550496,4.2255616,3.9936237,-615224.7470833645,4.528871653136245,2.6090355780594185
100,2.540808,4.1604686,3.1774802,-615833.3720833645,4.3676912930910365,2.8999666493163163
110,1.8860543,3.9576676,3.2872581,-614412.4970833645,4.364256615970752,2.8795616320219626
120,1.8668842,3.9855993,3.4239688,-615485.4970833645,4.563569549519287,2.759287815962755
130,2.1194084,4.075377,3.9364295,-616757.9970833645,5.0438375030235,2.530085836741056
140,2.1184824,4.441395,3.7274315,-614951.1220833645,4.7151456887087075,2.647857589674155
150,2.0864964,4.063805,3.6555674,-614753.8720833645,4.626387207646085,2.674249743766209
160,2.2132554,3.7547476,3.124452,-614834.2470833645,4.624084283784071,2.602700707850399
170,1.9429604,3.9899914,3.0962017,-616172.9970833645,4.217670125109219,2.547906651254563
180,2.1510038,3.958472,3.4051952,-614697.2470833645,4.440632584328609,2.6944053590572814
190,1.6497785,3.9304857,4.0091023,-615550.6220833645,4.787757659616063,2.7498830255959787
200,1.8764118,3.7041554,3.069863,-616156.4970833645,5.2412384057052295,2.92425898210725
210,1.8446546,4.0092525,3.870406,-617042.4970833645,5.262051097153762,2.8338560224461324
220,1.9067726,3.902737,3.7197502,-615586.7470833645,4.972777193189221,2.57416155064636
230,1.9614997,3.8236046,3.5397143,-615697.4970833645,5.153656443185204,2.8563408216421733
240,1.8587066,3.9333363,3.9083161,-614728.3720833645,5.068970308628758,2.6116254680313915
250,2.0938442,4.404297,3.6949244,-616178.2470833645,5.068086437053544,2.903497549679823
260,2.1043763,3.8904517,2.619452,-615021.7470833645,4.7502727983651605,2.4209605506401815
270,1.9648588,4.395126,3.7528594,-616093.1220833645,5.0665355946453134,2.9879816742793284
280,1.9030117,3.8107436,3.3013597,-615854.7470833645,4.878689182670694,2.883982314170091
290,1.9526608,3.637731,3.4237185,-615798.3720833645,5.133988922517075,2.774142920284951
300,1.8656355,4.045893,3.7436109,-616378.3720833645,5.05339349908617,2.8018947573563575
310,1.9007281,3.7618158,3.0879734,-613719.1220833645,5.236654786906337,2.8815800769402222
320,1.9331169,3.791157,4.232596,-615344.2470833645,5.4539466776693875,2.7933494348744405
330,1.8730891,4.112069,3.3269024,-614685.4970833645,5.085868222083522,3.0681991684422196
340,1.7240481,3.7809138,3.225916,-614289.9970833645,4.271643669790391,2.6162780131480403
350,2.3934815,3.8832276,3.5078654,-615314.4970833645,4.587350907589825,2.767635375659047
360,1.8510168,4.091849,3.63767,-616257.8720833645,4.960460208779717,2.977850604402685
370,1.9415306,4.1828094,3.5404854,-615282.8720833645,5.392859739592377,2.9531829720627676
380,1.8162506,4.039673,3.2330391,-615445.7470833645,5.297186543305811,2.790248215163659
390,1.8070775,3.7954018,4.5641065,-615005.7470833645,5.344499574454709,2.70186222940384
400,2.143053,3.7724838,4.1504726,-615194.1220833645,5.09883891463379,2.73714518603466
410,1.7463846,3.962242,3.9188786,-616171.7470833645,5.028759122127819,2.891413124434466
420,2.176749,4.0279145,3.5930703,-615997.9970833645,4.848711188592542,2.742151808928482
430,1.8693706,4.4172473,3.3163238,-614692.2470833645,4.652600976911822,3.0568257342456557
440,2.182108,4.2389297,2.6079712,-615907.7470833645,4.974937554259902,2.9185575909903014
450,2.1659203,4.0707884,3.023814,-614857.6220833645,5.088294394879985,2.7355951641187657
460,2.1846595,4.234162,3.7066576,-615049.2470833645,5.251431111962175,2.860219262946171
470,2.1087437,3.9582138,2.9940891,-615246.8720833645,4.975267156067938,2.8746741359063344
480,1.6291692,1.9768573,3.1889591,-614257.3720833645,5.065464984178539,2.2453015245316412
490,1.8439493,1.8874916,3.1124775,-616411.4970833645,4.5199365858461755,2.351807840345625
500,1.7343389,1.7652848,2.8864515,-615091.2470833645,5.560258948280337,2.339025359604593
510,2.1691368,1.9571433,3.1321352,-615307.1220833645,4.941531124805894,2.0937455822866298
520,2.147419,2.3161433,2.7039237,-616477.6220833645,5.443270197782795,2.011184480583376
530,2.1600106,1.8181785,3.3655946,-616230.4970833645,4.981393976545104,2.2422357415590133
540,2.0334508,1.9502213,5.0094514,-616842.2470833645,4.587873966007584,2.5815756051080365
550,1.971851,1.7455367,6.039097,-614791.2470833645,4.48257253692425,2.6740412352261838
560,2.0100565,1.9438059,3.7212574,-615920.2470833645,4.803002716715364,1.8947008237922711
570,2.0567021,2.0436916,3.297262,-616441.1220833645,5.101423535368245,2.2138471266347253
580,2.0757341,2.1382143,2.573754,-614616.2470833645,5.129567048022225,2.0457638942318246
590,1.8775971,2.1514373,2.8356385,-615657.3720833645,5.278070890054471,1.8242046169994526
600,1.9361608,1.9120711,4.3355637,-615450.7470833645,5.3368263123923745,2.462220691100158
610,2.085567,1.8629235,4.458446,-613929.3720833645,5.146733683269867,2.7071315025531697
620,1.9843832,1.8308429,5.0198193,-615830.1220833645,5.408400719361861,2.8253839478773797
630,1.8093985,2.019126,3.81344,-615178.7470833645,5.635641978929764,2.7326182196964517
640,1.8988297,1.976751,4.2260203,-615759.9970833645,5.09160957986242,2.666634841947985
650,2.1824818,1.9228027,4.817354,-615975.8720833645,4.21393908737541,2.2852881323353555
660,1.9561921,2.1265943,4.88779,-616094.4970833645,5.519105057696029,2.656462113089562
670,1.8840549,1.9530389,3.8012412,-614497.6220833645,5.176063830097047,2.466992795676189
680,1.8807557,1.9196638,5.50854,-616190.8720833645,5.4942754477579046,2.6735657957267835
690,1.8579991,1.6594021,5.9921327,-614300.7470833645,5.674877159966617,2.7490788468136538
700,2.043156,1.6828477,3.794696,-614992.4970833645,5.323292615615681,1.9302347108911524
710,1.8432809,1.7224258,4.116516,-615450.7470833645,4.899583747330427,2.3980368914899834
720,1.9287829,1.7834153,5.1445994,-615961.7470833645,5.2902066889116295,2.9781276596376967
730,2.0845685,1.7846265,3.7843003,-614113.2470833645,4.735051288927554,2.4598835113746804
740,1.9171038,1.805482,5.5949335,-616587.4970833645,4.455641042500905,2.8864518190900452
750,1.7973179,2.3921077,5.5251117,-615973.9970833645,5.0669419112618295,2.5923551264399545
760,1.9214815,1.82223,5.756825,-617018.9970833645,5.076945977884231,2.84585779586589
770,1.8456618,2.0351462,4.680055,-615984.7470833645,5.425667944562474,2.3897432304419803
780,2.021264,1.8427566,4.533227,-616445.7470833645,5.130036900139192,2.1973110983398785
790,2.2218766,1.7908425,3.534842,-614703.4970833645,5.0151873685772905,2.161801356952019
800,1.8573707,1.8073131,3.4844255,-615927.9970833645,4.542538264466616,2.161460989971652
810,1.6550525,2.2077646,2.7569644,-615476.4970833645,5.065055061904712,1.7316768314750566
820,2.0079513,2.0221243,4.705489,-614485.9970833645,4.934078224043012,2.458421850764741
830,1.8564522,2.3107746,3.2880964,-615242.6220833645,4.44235723404024,1.6074204331708253
840,1.9709067,2.1626885,3.3566978,-614964.1220833645,4.95485485155701,1.1881706131315757
850,1.8980885,1.7178239,3.119226,-616030.1220833645,4.812249079316862,1.2848869673500343
860,1.9811329,1.7832043,3.5151632,-614639.7470833645,4.613084548069788,1.2447426526031407
870,1.7550069,1.8290678,3.020411,-615885.2470833645,5.001166193294826,1.416057197234816
880,1.7373737,1.6795619,2.7618825,-613444.4970833645,4.712606385503616,1.6135678868125352
890,1.8877703,2.1470785,2.7124617,-614756.8720833645,5.150260754962539,2.04509796041579
900,2.0295956,1.8375297,2.995665,-615102.3720833645,5.2242997045565325,1.746519288586949
910,1.9225761,1.9899336,3.7730796,-615153.8720833645,5.001812298662472,1.598530054774225
920,1.9072268,2.0876007,3.248473,-615934.9970833645,5.228663727862214,1.4743398980354698
930,1.7438374,2.1961672,3.0844917,-615907.8720833645,5.2180710226162415,1.4465889669868326
940,1.9967855,1.9244148,2.8818462,-616076.9970833645,5.586623182772546,1.2378491414926789
950,1.7796073,1.9707533,3.3536258,-615605.7470833645,5.492019782606448,1.3832573886541306
960,1.9772589,1.8489547,3.182936,-613581.1220833645,5.650217457686695,1.4918465961915834
970,1.7384408,2.1077802,2.9746635,-615049.9970833645,5.755872834637543,1.163381331704367
980,1.7396104,2.136972,2.9376655,-616884.6220833645,5.834851825668442,1.5527496211918679
990,2.0821147,1.8128668,2.9579506,-616378.2470833645,5.281897567009734,1.5656150021138497
